epoch,step,train/loss
0,4,nan
0,9,nan
0,14,nan
1,19,nan
1,24,nan
1,29,nan
2,34,nan
2,39,nan
2,44,nan
3,49,nan
3,54,nan
3,59,nan
4,64,nan
4,69,nan
4,74,nan
4,79,nan
5,84,nan
5,89,nan
5,94,nan
6,99,nan
6,104,nan
6,109,nan
7,114,nan
7,119,nan
7,124,nan
8,129,nan
8,134,nan
8,139,nan
9,144,nan
9,149,nan
9,154,nan
9,159,nan
10,164,nan
10,169,nan
10,174,nan
11,179,nan
11,184,nan
11,189,nan
12,194,nan
12,199,nan
12,204,nan
13,209,nan
13,214,nan
13,219,nan
14,224,nan
14,229,nan
14,234,nan
14,239,nan
15,244,nan
15,249,nan
15,254,nan
16,259,nan
16,264,nan
16,269,nan
17,274,nan
17,279,nan
17,284,nan
18,289,nan
18,294,nan
18,299,nan
19,304,nan
19,309,nan
19,314,nan
19,319,nan
20,324,nan
20,329,nan
20,334,nan
21,339,nan
21,344,nan
21,349,nan
22,354,nan
22,359,nan
22,364,nan
23,369,nan
23,374,nan
23,379,nan
24,384,nan
24,389,nan
24,394,nan
24,399,nan
